Order Date,Region,Category,Segment,Sales,Quantity,Discount,Profit
2024-01-16,West,Technology,Home Office,360.46,7,0.3,18.37
2024-01-17,West,Furniture,Consumer,363.17,2,0.0,119.16
2024-01-17,West,Furniture,Consumer,278.4,1,0.0,75.02
2024-01-17,West,Office Supplies,Consumer,212.27,3,0.1,64.64
2024-01-17,West,Technology,Consumer,655.48,6,0.2,148.83
2024-01-17,Central,Furniture,Home Office,131.71,7,0.0,48.37
2024-01-18,Central,Technology,Home Office,52.12,6,0.1,-9.69
2024-01-18,South,Office Supplies,Corporate,97.68,3,0.1,28.77
2024-01-18,South,Office Supplies,Consumer,71.27,2,0.2,9.7
2024-01-18,South,Technology,Corporate,74.82,6,0.0,8.05
2024-01-18,West,Office Supplies,Corporate,83.92,4,0.0,9.94
2024-01-19,West,Technology,Home Office,73.34,3,0.0,1.87
2024-01-19,East,Technology,Corporate,549.41,2,0.0,158.14
2024-01-20,South,Office Supplies,Corporate,92.68,5,0.0,48.36
2024-01-20,West,Furniture,Corporate,604.52,7,0.0,152.37
2024-01-20,South,Technology,Consumer,241.61,4,0.0,40.87
2024-01-20,West,Technology,Consumer,237.67,1,0.2,53.12
2024-01-20,West,Technology,Corporate,280.56,5,0.1,73.56
2024-01-20,East,Office Supplies,Consumer,122.32,2,0.0,78.17
2024-01-21,West,Office Supplies,Consumer,26.02,3,0.0,19.65
2024-01-21,Central,Office Supplies,Corporate,59.58,3,0.2,11.04
2024-01-21,Central,Technology,Corporate,333.43,5,0.1,95.23
2024-01-22,West,Office Supplies,Corporate,20.58,1,0.3,30.43
2024-01-22,East,Furniture,Home Office,100.61,6,0.3,-10.07
2024-01-22,West,Office Supplies,Consumer,72.88,7,0.0,29.07
2024-01-23,East,Technology,Corporate,510.46,4,0.0,142.49
2024-01-23,East,Technology,Corporate,476.24,2,0.0,117.53
2024-01-23,Central,Technology,Home Office,734.64,2,0.0,187.78
2024-01-23,West,Technology,Consumer,106.2,1,0.0,15.18
2024-01-23,East,Technology,Consumer,441.73,5,0.0,100.28
2024-01-24,East,Technology,Home Office,646.66,3,0.0,190.85
2024-01-24,South,Technology,Consumer,591.56,3,0.1,124.57
2024-01-24,East,Furniture,Corporate,162.72,6,0.1,32.31
2024-01-24,West,Furniture,Corporate,358.19,1,0.0,108.15
2024-01-24,Central,Technology,Consumer,241.42,7,0.1,56.41
2024-01-24,East,Furniture,Consumer,248.37,4,0.0,67.79
2024-01-24,West,Office Supplies,Consumer,86.25,5,0.1,3.12
2024-01-25,West,Office Supplies,Consumer,23.01,3,0.3,-5.29
2024-01-25,East,Furniture,Corporate,86.02,2,0.0,36.09
2024-01-25,South,Furniture,Consumer,178.12,4,0.1,63.09
2024-01-25,West,Technology,Consumer,509.01,6,0.1,115.46
2024-01-25,West,Technology,Corporate,15.39,6,0.2,-13.11
2024-01-26,Central,Technology,Corporate,417.79,1,0.2,43.26
2024-01-26,West,Furniture,Consumer,209.97,6,0.2,46.13
2024-01-26,West,Furniture,Consumer,97.05,6,0.0,29.32
2024-01-27,East,Technology,Home Office,331.25,5,0.1,79.39
2024-01-27,East,Furniture,Consumer,97.75,3,0.1,52.82
2024-01-27,South,Office Supplies,Consumer,143.89,5,0.2,26.95
2024-01-27,East,Technology,Consumer,285.85,3,0.1,78.94
2024-01-27,West,Office Supplies,Consumer,174.68,7,0.0,31.28
2024-01-28,West,Furniture,Consumer,530.39,1,0.1,113.15
2024-01-28,West,Technology,Corporate,117.89,5,0.0,50.91
2024-01-28,West,Office Supplies,Corporate,119.74,1,0.3,24.33
2024-01-28,South,Technology,Home Office,722.76,7,0.1,185.45
2024-01-28,Central,Furniture,Consumer,226.24,6,0.2,51.77
2024-01-29,West,Office Supplies,Home Office,309.02,6,0.1,74.07
2024-01-29,East,Technology,Consumer,196.69,3,0.0,62.23
2024-01-29,West,Technology,Corporate,548.53,3,0.0,132.17
2024-01-29,West,Technology,Consumer,204.64,2,0.0,56.85
2024-01-29,West,Technology,Home Office,761.92,7,0.0,214.8
2024-01-29,West,Office Supplies,Consumer,74.48,6,0.0,29.92
2024-01-30,South,Technology,Corporate,177.57,7,0.0,51.37
2024-01-30,East,Office Supplies,Home Office,154.82,4,0.2,31.68
2024-01-30,West,Office Supplies,Corporate,111.51,5,0.1,19.78
2024-01-31,West,Office Supplies,Home Office,76.04,2,0.0,11.95
2024-01-31,Central,Office Supplies,Consumer,92.96,4,0.0,19.87
2024-01-31,West,Technology,Consumer,234.83,6,0.0,49.4
2024-01-31,East,Office Supplies,Home Office,61.25,1,0.1,-2.77
2024-01-31,West,Technology,Corporate,230.37,1,0.1,22.42
2024-02-01,South,Technology,Consumer,454.3,3,0.2,102.43
2024-02-01,Central,Furniture,Corporate,369.39,2,0.1,83.38
2024-02-01,West,Technology,Home Office,807.12,2,0.3,91.92
2024-02-01,East,Furniture,Home Office,98.01,4,0.0,9.98
2024-02-01,South,Technology,Corporate,314.57,7,0.0,102.5
2024-02-02,Central,Furniture,Consumer,352.9,3,0.0,112.68
2024-02-02,West,Office Supplies,Home Office,13.35,1,0.2,6.8
2024-02-02,East,Technology,Consumer,403.38,2,0.1,100.29
2024-02-02,West,Furniture,Corporate,47.6,4,0.2,4.57
2024-02-03,East,Technology,Corporate,118.83,7,0.0,57.32
2024-02-03,East,Technology,Consumer,306.26,6,0.0,77.71
2024-02-03,Central,Furniture,Consumer,117.25,6,0.1,48.41
2024-02-03,East,Office Supplies,Consumer,116.98,6,0.1,33.71
2024-02-03,Central,Technology,Corporate,96.66,5,0.0,-11.66
2024-02-04,South,Furniture,Corporate,282.83,4,0.0,88.68
2024-02-04,East,Office Supplies,Consumer,93.38,3,0.0,36.06
2024-02-05,Central,Technology,Corporate,114.41,2,0.0,15.59
2024-02-05,West,Office Supplies,Corporate,110.74,3,0.0,38.5
2024-02-05,East,Technology,Corporate,307.25,4,0.0,92.34
2024-02-06,East,Office Supplies,Consumer,57.56,7,0.0,18.0
2024-02-06,West,Furniture,Consumer,253.68,6,0.3,31.85
2024-02-06,West,Office Supplies,Consumer,37.41,7,0.0,13.52
2024-02-06,West,Technology,Consumer,432.5,4,0.0,107.55
2024-02-06,Central,Office Supplies,Corporate,112.9,6,0.0,24.14
2024-02-06,West,Furniture,Home Office,109.51,2,0.0,46.23
2024-02-06,West,Office Supplies,Home Office,288.47,3,0.0,97.96
2024-02-07,Central,Office Supplies,Consumer,138.38,7,0.0,64.35
2024-02-07,West,Office Supplies,Consumer,89.63,4,0.1,40.9
2024-02-08,Central,Technology,Corporate,122.37,1,0.2,54.17
2024-02-09,South,Technology,Consumer,618.11,2,0.2,98.42
2024-02-09,Central,Technology,Consumer,358.52,1,0.0,77.7
2024-02-09,Central,Office Supplies,Corporate,33.46,6,0.0,2.78
2024-02-09,East,Technology,Home Office,928.01,3,0.0,271.21
2024-02-09,Central,Furniture,Home Office,226.81,2,0.0,60.15
2024-02-10,South,Office Supplies,Consumer,102.11,5,0.3,28.18
2024-02-10,West,Technology,Home Office,558.33,4,0.0,166.94
2024-02-10,South,Furniture,Consumer,739.95,5,0.2,118.84
2024-02-11,East,Furniture,Corporate,292.35,4,0.1,47.19
2024-02-11,Central,Office Supplies,Consumer,191.75,4,0.0,59.41
2024-02-12,Central,Office Supplies,Consumer,112.23,3,0.3,5.01
2024-02-12,West,Office Supplies,Corporate,159.99,2,0.3,39.61
2024-02-12,East,Office Supplies,Consumer,159.82,7,0.1,29.89
2024-02-13,West,Technology,Corporate,800.42,5,0.0,207.71
2024-02-13,East,Technology,Consumer,286.67,3,0.0,81.47
2024-02-13,West,Technology,Corporate,311.92,3,0.0,92.65
2024-02-13,East,Office Supplies,Consumer,106.69,7,0.2,8.02
2024-02-14,East,Technology,Corporate,158.81,3,0.0,45.47
2024-02-14,South,Office Supplies,Consumer,34.27,3,0.1,-11.04
2024-02-14,South,Technology,Corporate,137.09,6,0.0,29.64
2024-02-15,West,Furniture,Consumer,309.07,3,0.1,70.35
2024-02-15,West,Technology,Home Office,428.19,5,0.3,62.32
2024-02-15,Central,Office Supplies,Corporate,157.38,1,0.0,44.0
2024-02-16,West,Office Supplies,Corporate,129.21,7,0.0,21.92
2024-02-16,East,Technology,Consumer,571.29,5,0.2,103.85
2024-02-16,West,Technology,Consumer,798.11,1,0.2,128.29
2024-02-16,Central,Technology,Consumer,113.26,6,0.0,27.06
2024-02-16,Central,Technology,Home Office,1250.43,5,0.2,217.68
2024-02-16,Central,Furniture,Corporate,161.63,3,0.0,58.34
2024-02-16,Central,Technology,Corporate,285.88,4,0.0,100.14
2024-02-17,South,Office Supplies,Corporate,31.47,6,0.2,22.31
2024-02-17,East,Furniture,Consumer,91.6,4,0.3,-12.08
2024-02-17,South,Office Supplies,Home Office,116.3,7,0.0,52.22
2024-02-17,South,Technology,Consumer,129.97,1,0.3,0.66
2024-02-18,South,Furniture,Consumer,346.37,5,0.1,88.59
2024-02-18,East,Office Supplies,Corporate,18.58,7,0.2,9.52
2024-02-18,West,Office Supplies,Corporate,60.53,5,0.1,18.42
2024-02-18,Central,Furniture,Consumer,385.89,5,0.1,102.72
2024-02-18,West,Furniture,Corporate,284.91,5,0.0,104.44
2024-02-18,West,Technology,Home Office,1009.0,5,0.0,288.95
2024-02-19,East,Technology,Consumer,255.64,6,0.1,52.89
2024-02-19,East,Furniture,Consumer,231.66,3,0.0,45.11
2024-02-19,East,Furniture,Consumer,178.13,5,0.0,62.44
2024-02-19,Central,Technology,Consumer,8.73,1,0.2,-8.06
2024-02-19,West,Office Supplies,Consumer,247.87,5,0.2,15.72
2024-02-19,East,Furniture,Corporate,166.66,3,0.1,38.24
2024-02-19,West,Technology,Consumer,72.91,7,0.0,4.71
2024-02-19,West,Technology,Corporate,1299.15,4,0.2,233.33
2024-02-19,East,Office Supplies,Corporate,249.96,6,0.2,38.55
2024-02-20,West,Office Supplies,Corporate,90.3,4,0.1,-13.92
2024-02-20,West,Furniture,Consumer,337.16,4,0.1,58.37
2024-02-20,East,Furniture,Consumer,178.66,6,0.1,35.59
2024-02-20,East,Technology,Consumer,673.01,3,0.0,178.19
2024-02-21,South,Technology,Home Office,355.46,4,0.2,69.76
2024-02-21,South,Technology,Consumer,262.85,1,0.0,90.67
2024-02-21,Central,Technology,Home Office,337.09,1,0.1,45.16
2024-02-21,East,Office Supplies,Consumer,57.95,4,0.0,20.05
2024-02-21,East,Technology,Home Office,653.35,1,0.2,103.68
2024-02-21,West,Technology,Corporate,458.5,7,0.1,126.05
2024-02-21,West,Technology,Corporate,399.53,7,0.2,70.24
2024-02-21,Central,Technology,Corporate,938.41,2,0.0,274.84
2024-02-21,Central,Furniture,Consumer,378.57,7,0.2,62.86
2024-02-22,West,Technology,Corporate,33.28,7,0.1,10.87
2024-02-22,South,Furniture,Consumer,139.78,1,0.0,29.22
2024-02-22,Central,Technology,Consumer,415.19,4,0.2,78.06
2024-02-22,West,Technology,Corporate,230.52,1,0.0,47.67
2024-02-22,West,Office Supplies,Consumer,192.51,4,0.1,59.09
2024-02-23,West,Office Supplies,Consumer,83.43,6,0.1,8.4
2024-02-23,Central,Furniture,Corporate,626.15,3,0.3,34.86
2024-02-24,South,Technology,Consumer,185.66,1,0.2,2.57
2024-02-24,East,Technology,Corporate,252.47,7,0.3,24.99
2024-02-24,South,Technology,Consumer,329.79,7,0.3,41.39
2024-02-24,East,Technology,Consumer,118.13,4,0.0,20.48
2024-02-24,East,Technology,Home Office,461.39,2,0.2,89.05
2024-02-25,Central,Furniture,Home Office,261.55,5,0.0,60.1
2024-02-25,East,Furniture,Corporate,132.34,6,0.3,9.46
2024-02-25,West,Furniture,Consumer,292.86,2,0.0,73.04
2024-02-26,East,Office Supplies,Consumer,55.32,7,0.0,15.87
2024-02-26,East,Technology,Consumer,216.28,6,0.0,28.84
2024-02-26,West,Technology,Home Office,741.96,6,0.1,186.64
2024-02-26,South,Office Supplies,Corporate,77.12,7,0.1,23.68
2024-02-27,Central,Office Supplies,Corporate,66.85,5,0.3,-1.9
2024-02-27,West,Furniture,Corporate,154.99,7,0.2,26.25
2024-02-27,West,Furniture,Home Office,219.84,6,0.3,37.59
2024-02-27,West,Technology,Consumer,306.93,3,0.1,69.93
2024-02-27,South,Technology,Home Office,172.98,3,0.0,53.05
2024-02-27,Central,Technology,Consumer,240.67,6,0.1,41.1
2024-02-27,West,Office Supplies,Corporate,41.61,6,0.1,2.92
2024-02-27,South,Furniture,Consumer,561.6,2,0.1,130.08
2024-02-27,South,Technology,Consumer,779.56,5,0.1,188.89
2024-02-27,West,Furniture,Consumer,103.51,5,0.0,14.19
2024-02-28,East,Office Supplies,Corporate,89.29,1,0.0,12.87
2024-02-28,East,Office Supplies,Corporate,76.71,2,0.0,17.9
2024-02-28,East,Technology,Consumer,870.91,2,0.0,250.8
2024-02-28,West,Office Supplies,Consumer,168.24,5,0.0,67.18
2024-02-29,South,Furniture,Consumer,513.98,3,0.0,130.2
2024-02-29,West,Technology,Corporate,273.78,6,0.0,66.01
2024-02-29,East,Furniture,Consumer,127.74,5,0.1,33.5
2024-03-01,East,Office Supplies,Consumer,18.81,2,0.1,3.18
2024-03-01,Central,Office Supplies,Consumer,37.46,2,0.0,1.86
2024-03-01,East,Technology,Consumer,270.92,1,0.1,68.44
2024-03-01,West,Office Supplies,Corporate,101.38,1,0.1,17.16
2024-03-01,West,Office Supplies,Consumer,88.04,6,0.2,16.43
2024-03-01,East,Furniture,Home Office,167.84,7,0.0,59.36
2024-03-01,East,Office Supplies,Home Office,88.33,1,0.0,2.52
2024-03-02,Central,Office Supplies,Home Office,49.21,2,0.2,-5.08
2024-03-02,West,Office Supplies,Home Office,19.82,3,0.2,-0.06
2024-03-02,West,Office Supplies,Consumer,51.64,6,0.0,31.65
2024-03-02,East,Technology,Consumer,334.22,4,0.1,78.47
2024-03-03,Central,Technology,Consumer,1371.75,1,0.0,386.84
2024-03-03,Central,Office Supplies,Corporate,65.74,2,0.1,42.52
2024-03-03,West,Technology,Corporate,662.91,4,0.0,189.7
2024-03-03,West,Office Supplies,Corporate,2.09,2,0.0,10.68
2024-03-03,Central,Technology,Corporate,385.3,4,0.0,102.17
2024-03-04,West,Technology,Home Office,231.04,3,0.0,80.43
2024-03-04,South,Office Supplies,Consumer,105.62,5,0.2,12.96
2024-03-04,Central,Furniture,Home Office,310.07,5,0.0,96.28
2024-03-04,West,Office Supplies,Consumer,38.07,2,0.1,18.01
2024-03-05,South,Technology,Consumer,460.46,7,0.1,98.07
2024-03-05,South,Furniture,Consumer,204.21,4,0.0,63.03
2024-03-05,West,Technology,Corporate,161.49,7,0.1,50.08
2024-03-05,East,Office Supplies,Corporate,88.2,7,0.0,55.52
2024-03-05,West,Office Supplies,Consumer,104.91,3,0.1,22.87
2024-03-05,Central,Furniture,Corporate,187.03,6,0.0,69.26
2024-03-05,Central,Office Supplies,Home Office,108.1,7,0.0,35.08
2024-03-05,East,Technology,Consumer,1084.73,2,0.0,324.54
2024-03-06,Central,Furniture,Corporate,138.57,2,0.0,47.12
2024-03-06,West,Office Supplies,Corporate,60.18,1,0.1,6.92
2024-03-06,West,Office Supplies,Consumer,66.65,3,0.0,8.16
2024-03-06,West,Technology,Home Office,707.51,5,0.1,177.52
2024-03-06,East,Furniture,Home Office,92.62,6,0.0,16.51
2024-03-06,East,Technology,Home Office,843.75,5,0.0,256.59
2024-03-07,West,Office Supplies,Consumer,192.8,4,0.0,63.53
2024-03-07,South,Furniture,Corporate,378.0,5,0.0,111.56
2024-03-07,West,Technology,Consumer,435.07,7,0.0,137.06
2024-03-07,East,Office Supplies,Consumer,72.4,3,0.3,33.11
2024-03-07,West,Office Supplies,Consumer,149.97,3,0.0,51.52
2024-03-08,Central,Furniture,Consumer,565.86,4,0.1,161.08
2024-03-08,Central,Technology,Consumer,461.99,1,0.0,132.99
2024-03-08,West,Furniture,Consumer,272.81,1,0.1,64.03
2024-03-09,East,Furniture,Corporate,52.2,2,0.2,-23.49
2024-03-09,West,Furniture,Consumer,827.73,2,0.1,204.86
2024-03-09,West,Office Supplies,Corporate,106.54,2,0.1,46.15
2024-03-09,West,Furniture,Home Office,241.74,4,0.1,55.69
2024-03-09,South,Furniture,Home Office,92.16,6,0.0,37.42
2024-03-10,South,Furniture,Consumer,112.49,2,0.2,52.83
2024-03-10,South,Furniture,Corporate,242.65,6,0.0,61.07
2024-03-10,West,Furniture,Home Office,236.32,5,0.0,57.62
2024-03-10,East,Office Supplies,Home Office,93.94,5,0.1,17.74
2024-03-10,South,Technology,Home Office,1113.73,4,0.1,243.94
2024-03-10,West,Furniture,Consumer,230.6,5,0.0,45.19
2024-03-11,West,Technology,Consumer,253.94,5,0.0,74.33
2024-03-11,East,Technology,Corporate,786.37,6,0.2,118.84
2024-03-11,Central,Technology,Consumer,340.04,6,0.0,82.54
2024-03-11,South,Office Supplies,Corporate,68.72,7,0.3,22.28
2024-03-11,Central,Office Supplies,Consumer,62.09,1,0.0,20.75
2024-03-12,South,Office Supplies,Consumer,173.53,2,0.1,39.76
2024-03-12,West,Office Supplies,Home Office,131.29,7,0.0,29.74
2024-03-12,West,Technology,Home Office,643.62,6,0.2,128.12
2024-03-12,West,Furniture,Home Office,712.52,3,0.0,220.61
2024-03-12,West,Office Supplies,Consumer,162.0,1,0.0,28.13
2024-03-12,South,Office Supplies,Corporate,389.36,2,0.1,107.76
2024-03-12,West,Furniture,Consumer,207.7,7,0.3,46.89
2024-03-13,West,Office Supplies,Home Office,19.32,1,0.0,22.41
2024-03-13,Central,Technology,Consumer,1156.92,7,0.0,300.73
2024-03-14,East,Office Supplies,Home Office,361.2,1,0.0,113.07
2024-03-14,Central,Technology,Consumer,59.66,3,0.0,49.29
2024-03-14,West,Technology,Consumer,939.37,1,0.0,266.67
2024-03-14,Central,Office Supplies,Corporate,88.86,7,0.1,14.03
2024-03-14,Central,Office Supplies,Consumer,98.65,3,0.1,10.22
2024-03-14,South,Office Supplies,Home Office,211.68,5,0.1,66.22
2024-03-14,Central,Technology,Consumer,52.37,7,0.0,2.1
2024-03-15,East,Furniture,Corporate,274.77,1,0.0,83.44
2024-03-15,South,Furniture,Home Office,136.09,7,0.0,63.5
2024-03-15,East,Technology,Home Office,300.26,2,0.2,25.18
2024-03-15,West,Technology,Consumer,339.41,5,0.1,87.69
2024-03-16,East,Office Supplies,Home Office,83.74,4,0.0,53.25
2024-03-16,East,Technology,Corporate,474.32,3,0.2,99.35
2024-03-16,East,Office Supplies,Consumer,341.5,3,0.0,112.08
2024-03-16,West,Furniture,Home Office,306.8,7,0.0,72.98
2024-03-16,West,Furniture,Corporate,491.54,7,0.0,114.63
2024-03-16,Central,Technology,Corporate,285.11,4,0.2,34.9
2024-03-17,South,Furniture,Consumer,137.97,1,0.0,38.37
2024-03-17,Central,Furniture,Consumer,647.45,7,0.2,124.15
2024-03-17,West,Technology,Corporate,113.04,4,0.0,20.7
2024-03-17,West,Technology,Home Office,668.88,7,0.0,195.54
2024-03-17,West,Furniture,Consumer,285.41,6,0.0,74.43
2024-03-17,South,Technology,Home Office,840.67,4,0.0,251.15
2024-03-17,Central,Office Supplies,Corporate,21.58,2,0.1,-18.61
2024-03-17,West,Technology,Consumer,428.57,6,0.0,114.24
2024-03-17,East,Furniture,Consumer,109.07,7,0.0,8.74
2024-03-18,West,Technology,Home Office,397.18,5,0.3,64.91
2024-03-18,Central,Furniture,Corporate,260.14,3,0.0,65.81
2024-03-18,West,Furniture,Consumer,291.9,5,0.0,81.23
2024-03-18,East,Technology,Consumer,1334.88,2,0.0,369.9
2024-03-19,West,Office Supplies,Consumer,178.83,6,0.0,30.39
2024-03-19,East,Technology,Consumer,492.82,1,0.1,109.37
2024-03-19,Central,Technology,Home Office,442.93,7,0.0,100.24
2024-03-19,East,Furniture,Corporate,931.31,5,0.0,244.45
2024-03-19,East,Technology,Consumer,719.33,6,0.2,129.97
2024-03-19,East,Office Supplies,Corporate,71.26,6,0.0,13.49
2024-03-20,West,Technology,Corporate,348.0,2,0.0,102.66
2024-03-20,Central,Office Supplies,Corporate,83.91,4,0.0,46.43
2024-03-20,West,Office Supplies,Consumer,244.02,5,0.2,16.06
2024-03-21,South,Technology,Home Office,219.97,7,0.2,36.84
2024-03-21,West,Furniture,Consumer,39.84,4,0.1,41.89
2024-03-21,East,Office Supplies,Home Office,126.25,6,0.0,29.77
2024-03-21,East,Office Supplies,Consumer,38.91,7,0.0,1.88
2024-03-21,South,Technology,Corporate,433.61,3,0.1,94.61
2024-03-21,West,Technology,Consumer,72.96,3,0.0,-6.73
2024-03-21,East,Office Supplies,Consumer,27.22,1,0.0,9.76
2024-03-22,Central,Technology,Consumer,233.88,7,0.0,58.33
2024-03-22,East,Office Supplies,Consumer,146.86,2,0.0,30.9
2024-03-22,West,Furniture,Home Office,102.86,4,0.0,19.64
2024-03-22,Central,Furniture,Consumer,139.34,6,0.1,41.13
2024-03-23,South,Office Supplies,Home Office,73.78,5,0.2,18.61
2024-03-23,West,Furniture,Corporate,479.14,7,0.0,140.25
2024-03-23,East,Technology,Corporate,376.15,7,0.0,102.35
2024-03-23,South,Technology,Consumer,244.16,5,0.0,91.87
2024-03-24,West,Technology,Home Office,725.85,6,0.1,154.59
2024-03-24,Central,Technology,Corporate,1141.45,6,0.0,334.36
2024-03-24,West,Office Supplies,Home Office,28.74,5,0.0,8.98
2024-03-24,East,Office Supplies,Consumer,16.73,6,0.1,-10.99
2024-03-24,West,Office Supplies,Consumer,168.36,3,0.2,31.93
2024-03-24,Central,Furniture,Corporate,205.6,7,0.3,15.53
2024-03-24,South,Office Supplies,Corporate,39.16,4,0.1,3.09
2024-03-24,West,Technology,Home Office,557.01,3,0.1,141.31
2024-03-24,Central,Furniture,Consumer,126.87,1,0.2,-4.23
2024-03-24,East,Technology,Home Office,109.4,2,0.0,18.21
2024-03-24,West,Furniture,Consumer,921.61,7,0.0,239.68
2024-03-24,South,Furniture,Corporate,94.7,7,0.2,21.73
2024-03-25,West,Office Supplies,Corporate,147.79,7,0.0,29.81
2024-03-25,South,Technology,Consumer,692.09,3,0.0,193.39
2024-03-25,South,Technology,Corporate,31.01,4,0.0,15.96
2024-03-25,East,Office Supplies,Home Office,89.06,5,0.2,4.36
2024-03-25,West,Furniture,Corporate,137.9,7,0.2,36.63
2024-03-26,West,Office Supplies,Consumer,269.28,3,0.3,41.01
2024-03-26,East,Technology,Corporate,609.31,7,0.0,160.93
2024-03-26,East,Furniture,Corporate,21.71,3,0.0,-2.76
2024-03-26,West,Office Supplies,Home Office,108.31,3,0.0,25.21
2024-03-26,West,Office Supplies,Corporate,77.08,5,0.2,38.82
2024-03-27,Central,Technology,Consumer,603.03,7,0.0,144.94
2024-03-28,West,Furniture,Corporate,413.49,3,0.2,78.6
2024-03-28,West,Furniture,Consumer,158.57,2,0.2,37.33
2024-03-28,West,Furniture,Consumer,61.07,6,0.0,18.01
