Date,Dark_Store,Category,SKU,Units_Sold,Forecast_Units,On_Hand_Units,Promo_Flag
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-06,56,56,357,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-01,29,36,113,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-02,42,27,136,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-03,37,27,148,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-04,27,34,83,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-05,37,27,137,0
2025-01-01,DS-Amsterdam-02,Dairy,DAI-06,31,30,125,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-01,52,65,173,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-02,59,64,196,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-03,63,59,209,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-04,52,54,178,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-05,66,52,191,0
2025-01-01,DS-Amsterdam-02,Beverages,BEV-06,49,59,142,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-01,47,46,73,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-02,51,44,82,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-03,57,48,91,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-04,38,44,49,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-05,53,45,67,0
2025-01-01,DS-Amsterdam-02,Snacks,SNA-06,59,34,106,0
2025-01-01,DS-Amsterdam-02,Household,HOU-01,29,24,107,0
2025-01-01,DS-Amsterdam-02,Household,HOU-02,28,28,95,0
2025-01-01,DS-Amsterdam-02,Household,HOU-03,23,28,81,0
2025-01-01,DS-Amsterdam-02,Household,HOU-04,24,23,95,0
2025-01-01,DS-Amsterdam-02,Household,HOU-05,22,24,92,0
2025-01-01,DS-Amsterdam-02,Household,HOU-06,27,21,80,0
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-01,25,36,146,0
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-02,28,49,186,0
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-03,60,60,332,1
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-04,33,46,228,0
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-05,29,36,147,0
2025-01-01,DS-Rotterdam-01,Fresh Produce,FRE-06,61,79,418,1
2025-01-01,DS-Rotterdam-01,Dairy,DAI-01,21,26,74,0
2025-01-01,DS-Rotterdam-01,Dairy,DAI-02,27,27,90,0
2025-01-01,DS-Rotterdam-01,Dairy,DAI-03,34,27,100,0
2025-01-01,DS-Rotterdam-01,Dairy,DAI-04,37,29,114,0
2025-01-01,DS-Rotterdam-01,Dairy,DAI-05,27,24,87,0
2025-01-01,DS-Rotterdam-01,Dairy,DAI-06,17,23,68,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-01,54,39,215,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-02,51,49,196,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-03,58,38,238,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-04,46,36,165,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-05,42,51,155,0
2025-01-01,DS-Rotterdam-01,Beverages,BEV-06,45,48,178,0
2025-01-01,DS-Rotterdam-01,Snacks,SNA-01,44,32,73,0
2025-01-01,DS-Rotterdam-01,Snacks,SNA-02,79,73,117,1
2025-01-01,DS-Rotterdam-01,Snacks,SNA-03,45,38,56,0
2025-01-01,DS-Rotterdam-01,Snacks,SNA-04,41,32,60,0
2025-01-01,DS-Rotterdam-01,Snacks,SNA-05,41,33,54,0
2025-01-01,DS-Rotterdam-01,Snacks,SNA-06,49,28,80,0
2025-01-01,DS-Rotterdam-01,Household,HOU-01,19,17,69,0
2025-01-01,DS-Rotterdam-01,Household,HOU-02,21,16,75,0
2025-01-01,DS-Rotterdam-01,Household,HOU-03,22,16,84,0
2025-01-01,DS-Rotterdam-01,Household,HOU-04,16,18,63,0
2025-01-01,DS-Rotterdam-01,Household,HOU-05,18,18,72,0
2025-01-01,DS-Rotterdam-01,Household,HOU-06,19,16,68,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-01,35,49,251,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-02,39,57,275,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-03,37,46,221,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-04,36,39,209,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-05,46,44,271,0
2025-01-01,DS-Utrecht-01,Fresh Produce,FRE-06,40,52,259,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-01,38,30,142,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-02,34,31,107,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-03,32,36,132,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-04,28,29,94,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-05,35,31,113,0
2025-01-01,DS-Utrecht-01,Dairy,DAI-06,31,30,113,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-01,60,54,204,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-02,45,55,134,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-03,46,48,130,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-04,46,55,158,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-05,49,58,179,0
2025-01-01,DS-Utrecht-01,Beverages,BEV-06,53,56,216,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-01,51,41,79,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-02,57,44,69,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-03,50,46,77,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-04,50,39,60,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-05,51,42,84,0
2025-01-01,DS-Utrecht-01,Snacks,SNA-06,35,43,48,0
2025-01-01,DS-Utrecht-01,Household,HOU-01,30,22,112,0
2025-01-01,DS-Utrecht-01,Household,HOU-02,20,22,62,0
2025-01-01,DS-Utrecht-01,Household,HOU-03,26,15,82,0
2025-01-01,DS-Utrecht-01,Household,HOU-04,18,21,70,0
2025-01-01,DS-Utrecht-01,Household,HOU-05,22,23,87,0
2025-01-01,DS-Utrecht-01,Household,HOU-06,18,23,58,0
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-01,52,50,328,0
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-02,41,45,234,0
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-03,70,95,414,1
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-04,42,54,209,0
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-05,39,45,230,0
2025-01-01,DS-TheHague-01,Fresh Produce,FRE-06,39,51,194,0
2025-01-01,DS-TheHague-01,Dairy,DAI-01,43,32,124,0
2025-01-01,DS-TheHague-01,Dairy,DAI-02,32,30,101,0
2025-01-01,DS-TheHague-01,Dairy,DAI-03,34,28,110,0
2025-01-01,DS-TheHague-01,Dairy,DAI-04,60,67,215,1
2025-01-01,DS-TheHague-01,Dairy,DAI-05,36,30,129,0
2025-01-01,DS-TheHague-01,Dairy,DAI-06,36,33,110,0
2025-01-01,DS-TheHague-01,Beverages,BEV-01,59,77,232,0
2025-01-01,DS-TheHague-01,Beverages,BEV-02,61,57,193,0
2025-01-01,DS-TheHague-01,Beverages,BEV-03,60,55,176,0
2025-01-01,DS-TheHague-01,Beverages,BEV-04,73,45,291,0
2025-01-01,DS-TheHague-01,Beverages,BEV-05,41,57,141,0
2025-01-01,DS-TheHague-01,Beverages,BEV-06,45,55,159,0
2025-01-01,DS-TheHague-01,Snacks,SNA-01,51,50,91,0
2025-01-01,DS-TheHague-01,Snacks,SNA-02,42,37,70,0
2025-01-01,DS-TheHague-01,Snacks,SNA-03,106,65,169,1
2025-01-01,DS-TheHague-01,Snacks,SNA-04,44,41,54,0
2025-01-01,DS-TheHague-01,Snacks,SNA-05,42,54,65,0
2025-01-01,DS-TheHague-01,Snacks,SNA-06,58,42,95,0
2025-01-01,DS-TheHague-01,Household,HOU-01,21,23,62,0
2025-01-01,DS-TheHague-01,Household,HOU-02,25,23,94,0
2025-01-01,DS-TheHague-01,Household,HOU-03,27,22,79,0
2025-01-01,DS-TheHague-01,Household,HOU-04,25,25,86,0
2025-01-01,DS-TheHague-01,Household,HOU-05,27,17,81,0
2025-01-01,DS-TheHague-01,Household,HOU-06,22,24,92,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-01,49,37,345,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-02,35,33,205,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-03,36,46,237,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-04,40,45,214,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-05,33,36,183,0
2025-01-02,DS-Amsterdam-01,Fresh Produce,FRE-06,31,42,205,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-01,32,31,115,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-02,27,25,81,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-03,24,26,100,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-04,42,28,152,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-05,27,29,76,0
2025-01-02,DS-Amsterdam-01,Dairy,DAI-06,20,26,57,0
2025-01-02,DS-Amsterdam-01,Beverages,BEV-01,109,101,413,1
2025-01-02,DS-Amsterdam-01,Beverages,BEV-02,106,94,343,1
2025-01-02,DS-Amsterdam-01,Beverages,BEV-03,83,91,305,1
2025-01-02,DS-Amsterdam-01,Beverages,BEV-04,47,63,183,0
2025-01-02,DS-Amsterdam-01,Beverages,BEV-05,52,45,164,0
2025-01-02,DS-Amsterdam-01,Beverages,BEV-06,54,51,218,0
2025-01-02,DS-Amsterdam-01,Snacks,SNA-01,68,59,113,1
2025-01-02,DS-Amsterdam-01,Snacks,SNA-02,37,32,66,0
2025-01-02,DS-Amsterdam-01,Snacks,SNA-03,53,41,79,0
2025-01-02,DS-Amsterdam-01,Snacks,SNA-04,78,76,117,1
2025-01-02,DS-Amsterdam-01,Snacks,SNA-05,54,38,95,0
2025-01-02,DS-Amsterdam-01,Snacks,SNA-06,34,28,52,0
2025-01-02,DS-Amsterdam-01,Household,HOU-01,37,41,152,1
2025-01-02,DS-Amsterdam-01,Household,HOU-02,14,19,55,0
2025-01-02,DS-Amsterdam-01,Household,HOU-03,24,17,94,0
2025-01-02,DS-Amsterdam-01,Household,HOU-04,40,40,166,1
2025-01-02,DS-Amsterdam-01,Household,HOU-05,11,18,31,0
2025-01-02,DS-Amsterdam-01,Household,HOU-06,19,18,70,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-01,50,44,343,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-02,41,50,229,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-03,46,45,280,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-04,33,41,207,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-05,41,37,216,0
2025-01-02,DS-Amsterdam-02,Fresh Produce,FRE-06,43,40,227,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-01,25,27,98,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-02,21,27,62,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-03,29,29,89,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-04,25,35,101,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-05,32,26,107,0
2025-01-02,DS-Amsterdam-02,Dairy,DAI-06,35,22,104,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-01,66,50,204,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-02,48,42,141,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-03,55,50,195,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-04,47,49,165,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-05,50,53,157,0
2025-01-02,DS-Amsterdam-02,Beverages,BEV-06,53,53,206,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-01,45,36,77,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-02,42,34,58,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-03,40,39,48,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-04,44,26,54,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-05,36,41,56,0
2025-01-02,DS-Amsterdam-02,Snacks,SNA-06,55,31,66,0
2025-01-02,DS-Amsterdam-02,Household,HOU-01,31,16,115,0
2025-01-02,DS-Amsterdam-02,Household,HOU-02,23,18,67,0
2025-01-02,DS-Amsterdam-02,Household,HOU-03,23,19,80,0
2025-01-02,DS-Amsterdam-02,Household,HOU-04,20,20,57,0
2025-01-02,DS-Amsterdam-02,Household,HOU-05,23,21,93,0
2025-01-02,DS-Amsterdam-02,Household,HOU-06,25,18,76,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-01,39,38,188,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-02,34,45,204,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-03,40,37,236,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-04,39,40,223,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-05,38,31,219,0
2025-01-02,DS-Rotterdam-01,Fresh Produce,FRE-06,46,46,310,0
2025-01-02,DS-Rotterdam-01,Dairy,DAI-01,44,29,141,0
2025-01-02,DS-Rotterdam-01,Dairy,DAI-02,31,30,120,0
2025-01-02,DS-Rotterdam-01,Dairy,DAI-03,49,53,170,1
2025-01-02,DS-Rotterdam-01,Dairy,DAI-04,29,29,107,0
2025-01-02,DS-Rotterdam-01,Dairy,DAI-05,35,26,122,0
2025-01-02,DS-Rotterdam-01,Dairy,DAI-06,21,25,70,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-01,52,49,151,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-02,39,48,158,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-03,65,50,217,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-04,57,47,232,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-05,55,56,181,0
2025-01-02,DS-Rotterdam-01,Beverages,BEV-06,56,49,234,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-01,45,36,80,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-02,42,37,73,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-03,46,36,57,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-04,29,30,46,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-05,29,38,36,0
2025-01-02,DS-Rotterdam-01,Snacks,SNA-06,37,38,60,0
2025-01-02,DS-Rotterdam-01,Household,HOU-01,24,23,90,0
2025-01-02,DS-Rotterdam-01,Household,HOU-02,15,19,54,0
2025-01-02,DS-Rotterdam-01,Household,HOU-03,23,22,79,0
2025-01-02,DS-Rotterdam-01,Household,HOU-04,18,19,56,0
2025-01-02,DS-Rotterdam-01,Household,HOU-05,19,17,75,0
2025-01-02,DS-Rotterdam-01,Household,HOU-06,18,22,66,0
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-01,56,78,312,0
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-02,44,63,232,0
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-03,98,98,546,1
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-04,38,65,238,0
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-05,43,48,283,0
2025-01-02,DS-Utrecht-01,Fresh Produce,FRE-06,38,70,266,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-01,35,39,113,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-02,40,40,149,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-03,43,44,148,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-04,34,46,126,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-05,37,48,110,0
2025-01-02,DS-Utrecht-01,Dairy,DAI-06,31,52,91,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-01,62,78,205,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-02,58,71,185,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-03,74,62,292,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-04,71,57,272,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-05,61,55,249,0
2025-01-02,DS-Utrecht-01,Beverages,BEV-06,65,81,222,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-01,53,52,78,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-02,57,46,71,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-03,53,52,93,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-04,63,60,103,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-05,64,57,102,0
2025-01-02,DS-Utrecht-01,Snacks,SNA-06,56,46,83,0
2025-01-02,DS-Utrecht-01,Household,HOU-01,26,24,97,0
2025-01-02,DS-Utrecht-01,Household,HOU-02,22,23,73,0
2025-01-02,DS-Utrecht-01,Household,HOU-03,34,26,116,0
2025-01-02,DS-Utrecht-01,Household,HOU-04,27,24,87,0
2025-01-02,DS-Utrecht-01,Household,HOU-05,25,22,74,0
2025-01-02,DS-Utrecht-01,Household,HOU-06,34,24,104,0
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-01,31,36,188,0
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-02,38,44,196,0
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-03,78,68,393,1
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-04,33,35,178,0
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-05,34,35,218,0
2025-01-02,DS-TheHague-01,Fresh Produce,FRE-06,40,47,214,0
2025-01-02,DS-TheHague-01,Dairy,DAI-01,22,35,84,0
2025-01-02,DS-TheHague-01,Dairy,DAI-02,30,27,102,0
2025-01-02,DS-TheHague-01,Dairy,DAI-03,26,31,82,0
2025-01-02,DS-TheHague-01,Dairy,DAI-04,30,20,88,0
2025-01-02,DS-TheHague-01,Dairy,DAI-05,24,27,100,0
2025-01-02,DS-TheHague-01,Dairy,DAI-06,29,28,106,0
2025-01-02,DS-TheHague-01,Beverages,BEV-01,43,46,128,0
2025-01-02,DS-TheHague-01,Beverages,BEV-02,34,44,126,0
2025-01-02,DS-TheHague-01,Beverages,BEV-03,82,71,281,1
2025-01-02,DS-TheHague-01,Beverages,BEV-04,51,50,159,0
2025-01-02,DS-TheHague-01,Beverages,BEV-05,75,88,243,1
2025-01-02,DS-TheHague-01,Beverages,BEV-06,54,41,212,0
2025-01-02,DS-TheHague-01,Snacks,SNA-01,40,36,53,0
2025-01-02,DS-TheHague-01,Snacks,SNA-02,48,33,83,0
2025-01-02,DS-TheHague-01,Snacks,SNA-03,44,37,75,0
2025-01-02,DS-TheHague-01,Snacks,SNA-04,48,34,71,0
2025-01-02,DS-TheHague-01,Snacks,SNA-05,46,33,59,0
2025-01-02,DS-TheHague-01,Snacks,SNA-06,40,30,71,0
2025-01-02,DS-TheHague-01,Household,HOU-01,21,12,58,0
2025-01-02,DS-TheHague-01,Household,HOU-02,16,16,52,0
2025-01-02,DS-TheHague-01,Household,HOU-03,20,20,80,0
2025-01-02,DS-TheHague-01,Household,HOU-04,19,23,63,0
2025-01-02,DS-TheHague-01,Household,HOU-05,10,20,32,0
2025-01-02,DS-TheHague-01,Household,HOU-06,16,14,55,0
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-01,36,45,237,0
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-02,42,46,217,0
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-03,31,32,178,0
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-04,68,72,347,1
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-05,43,35,234,0
2025-01-03,DS-Amsterdam-01,Fresh Produce,FRE-06,29,47,184,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-01,32,20,122,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-02,30,25,105,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-03,24,34,93,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-04,23,31,73,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-05,26,29,106,0
2025-01-03,DS-Amsterdam-01,Dairy,DAI-06,27,27,100,0
2025-01-03,DS-Amsterdam-01,Beverages,BEV-01,55,50,171,0
2025-01-03,DS-Amsterdam-01,Beverages,BEV-02,54,52,214,0
2025-01-03,DS-Amsterdam-01,Beverages,BEV-03,82,65,255,1
2025-01-03,DS-Amsterdam-01,Beverages,BEV-04,86,86,341,1
2025-01-03,DS-Amsterdam-01,Beverages,BEV-05,54,50,166,0
2025-01-03,DS-Amsterdam-01,Beverages,BEV-06,57,56,206,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-01,43,39,64,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-02,42,35,57,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-03,38,30,50,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-04,39,32,58,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-05,42,38,56,0
2025-01-03,DS-Amsterdam-01,Snacks,SNA-06,31,38,48,0
2025-01-03,DS-Amsterdam-01,Household,HOU-01,28,22,81,0
2025-01-03,DS-Amsterdam-01,Household,HOU-02,13,19,53,0
2025-01-03,DS-Amsterdam-01,Household,HOU-03,25,21,85,0
2025-01-03,DS-Amsterdam-01,Household,HOU-04,51,38,157,1
2025-01-03,DS-Amsterdam-01,Household,HOU-05,35,32,131,1
2025-01-03,DS-Amsterdam-01,Household,HOU-06,17,18,62,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-01,51,52,351,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-02,33,51,231,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-03,32,38,229,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-04,38,45,209,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-05,46,53,282,0
2025-01-03,DS-Amsterdam-02,Fresh Produce,FRE-06,35,39,192,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-01,28,25,89,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-02,46,28,189,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-03,36,34,141,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-04,31,33,105,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-05,36,25,113,0
2025-01-03,DS-Amsterdam-02,Dairy,DAI-06,35,34,138,0
2025-01-03,DS-Amsterdam-02,Beverages,BEV-01,60,65,243,0
2025-01-03,DS-Amsterdam-02,Beverages,BEV-02,59,67,209,0
2025-01-03,DS-Amsterdam-02,Beverages,BEV-03,54,60,224,0
2025-01-03,DS-Amsterdam-02,Beverages,BEV-04,116,95,458,1
2025-01-03,DS-Amsterdam-02,Beverages,BEV-05,58,50,166,0
2025-01-03,DS-Amsterdam-02,Beverages,BEV-06,57,51,222,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-01,43,34,51,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-02,43,38,62,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-03,42,39,62,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-04,45,41,61,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-05,50,47,74,0
2025-01-03,DS-Amsterdam-02,Snacks,SNA-06,52,38,90,0
2025-01-03,DS-Amsterdam-02,Household,HOU-01,22,19,81,0
2025-01-03,DS-Amsterdam-02,Household,HOU-02,20,18,81,0
2025-01-03,DS-Amsterdam-02,Household,HOU-03,21,20,72,0
2025-01-03,DS-Amsterdam-02,Household,HOU-04,21,21,82,0
2025-01-03,DS-Amsterdam-02,Household,HOU-05,18,20,72,0
2025-01-03,DS-Amsterdam-02,Household,HOU-06,18,21,60,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-01,46,54,239,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-02,42,63,216,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-03,51,54,342,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-04,55,68,322,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-05,46,52,262,0
2025-01-03,DS-Rotterdam-01,Fresh Produce,FRE-06,83,94,592,1
2025-01-03,DS-Rotterdam-01,Dairy,DAI-01,39,34,152,0
2025-01-03,DS-Rotterdam-01,Dairy,DAI-02,39,35,126,0
